M
Hochschullehrer (Mineralogie)
Aufbereitungssteiger
Flugbetriebssoldat
Techniker - Bordelektrik
Privater Arbeitsvermittler
Fondssachbearbeiter
Aufrauher - Lederherstellung
Musikinstrumentenrestaurator
Walzerhelfer
Bandleiter Fließband
"Ausbilder - Kunst, Musik, angestellt"
Psychologisch-technischer Assistent
Schweißer - Zentralheizungs- und Lüftungsbau
Hobelmaschinenarbeiter (Holz)
Leiter - Grubenbetrieb
Fleischer
Beamter Verwaltung mittlerer Dienst
Kernchemiker Atomkraftwerk
Rechtswirt
Glühlampenhersteller
Transformatorenbauer
Röntgentechniker
Sportartikelsattler
Halbtonretuscheur
Applikationsspezialist Medizintechnik
Viehhalter - nur aufsichtsführend tätig
Glasbauer
Polizei Innendienst
Gartenaufseher 
Techniker - Umweltschutzverfahrenstechnik
Nautiker (Hochschule)
Chemotechniker - Chemie (sonst. Gefahrstoffe)
Porträtfotograf
Dyskalkulietherapeut
Keramdreher
Eicher (Mechaniker)
Goldaufträger
Profil- und Blechwalzer
Aufsichtsbeamter (Eisenbahnbetrieb)
Pappenglätter
"Schlosser - Schlosser, allgemein"
Plattenpresser (Blechverformung)
Schmelzofenwerker
Hausinstallateur
Stahlschiffbauer o.n.A.
Operator 
Winzermeister
Kunststoffpolierer
Erdölgewinnerhelfer an Land Inland
Mechaniker - Glastechnik
Tiefdruckretuscheur
"Kundenberater (Bank, Sparkasse)"
Metallblasinstrumentenmachermeister
Autoslalomfahrer
Kapellmeister Oper
Metzger
"Meister des Vergolderhandwerks (Holz), überwiegend aufsichtsführend"
Bandaufleger Textil
Spielbankkontrolleur
Novize/Novizin
Nachwuchskundenbetreuer - Kreditgeschäft
Abteilungsleiter (Handel)
Schiffsbetriebstechn. Assistent
Elfenbeinschnitzer
Patentingenieur
"Bungee-Jumping, ungeprüfte Anlage"
Schießmeister unter Tage
Schulleiter 
Verbands-Snowboardlehrer
Geprüfter Weinfachberater
Techniker - Gartenbau (Zierpflanzenbau)
Hydraulikfachmann
Steingraveur
Internationaler Betriebswirt (Fachschule)
Fertigteilbauer (Holz)
Versteigerer
Farbretuscheur
Brandschauer
Meister Straßenbautechnik
Separatwachmann
"Schlosser Anlagen u.Geräte, Anlagenfahrer Braunkohlebrikettierung"
Rindermeister
Ingenieur - Verlagswesen
Etagendiener
Arbeiter am Hochofen
Krankenpflegehelfer - Behindertenpflege
Verwaltungsfachangestellter - Bundesverkehrsverwaltung
Techniker - Feinwerktechnik (Fertigung)
Vorarbeiter (Schmucktextilienherstellung)
Motorenbauer (Maschinenschlosser)
Fleischkontrolleur
Partyservicekoch
BMSR-Techniker
Flurleger
Restaurator - Buchbinderhandwerk
Eichoberinspektor
Steward/Stewardess (Flugzeug)
Dipl.-Ing. (Uni) - Chemiefasertechnologie
Koordinatenschleifer
Ballonmeister (Chemie)
Facharbeiter - Kunststoffchemie
Nachrichtenelektroniker
Prozeßvertreter
Grabungsleiter (Archäologie)
Wehrdienstleistender
Mechatronikfachkraft
Stadtoberinspektor
Bohrmeister Gas Ausland
CTA (Chirurgisch-technischer Assistent )
Verkäufer - Möbel
Aufsicht -Messe/Ausstellungen/Warenhäuser
Kaufmann - Einzelhandel (Kraftfahrzeuge/Teile/Zubeh.)
Schiffsmechaniker
Master of Arts - Medienrecht
Gummibetriebshilfswerker
Modehändler
Techniker - Synthesetechnik
Kraftanlagenwärter
Augenarzt
Möbelpolsterermeister
Meister Friseurhandwerk
Zweite(r) Nautischer Schiffsoffizier (mit Beschr.)
Glasmaler handwerklich
Tabakmaschinenbediener
Humangenetiker
Rohrnetzbauer und -schlosser
"Arzt - Hals-, Nasen-, Ohrenheilkunde"
Eisenbahner - Betriebsdienst
Photograph
Kanalisationsarbeiter
Destillierer - Chemie (sonst. Gefahrstoffe)
Bierfahrer
Helfer - Gastgewerbe
Feuerwehrmann (höh. techn. Dienst)
Besteckeinkitter
Packmitteltechnologe
Buchhaltungslehrer
Weißgießer
Fahrradsattelmacher
Technischer Sterilisationsassistent
Technischer Bühnengehilfe
Leiter - Musikschule
Schlauchvulkaniseur
Sportpsychologe
Leitender Gymnastiklehrer
Athlet
Bühnenmaler Kunst bildend 
Dekorentwerfer Kerammaler
Techn. Assistent - Gebäudetechnik
Fernmeldeanlagenmonteur
Meister - Schmuckindustrie
Operations-Research-Ingenieur
Anglist / Amerikanist
Müllbeseitiger
Blechprüfer
Ingenieur - Druckmaschinen und Druckverfahren
Kabelformer
Holzwarenmacher
Kraftkarrenfahrer
Paradontologe
Bauarbeiter - Kulturbau
Fuhrparkmeister
Facharzt - Allgemeinmedizin (Hausarzt )
Hauptmaschinenmeister (an Energiemaschinen)
Oberbootsmann (i. BGS)
Schlosser / Kunststoff
Referent - Rechtsfragen
Brenner (Süßwarenhersteller)
Schifflisticker
Einzelhandelskaufmann - Medizinischer Fachhandel
Dipl.-Sozialpädagoge
Polizeigefängnisaufseher
Rechtsanwaltsfachangestellter
Umweltschutzlaborant
Molkereifachmann
Meister Hauswirtschaft
Preiskalkulator
"Werkführer (Papier-, Zellstoffherstellung)"
Assistent - Bekleidungstechnik
"Garderoben-, Toilettenwärter"
Galvaniseur (Leiterplattenfertigung)
Techniker - Labortechnik (Umweltschutz)
Techniker - Mikrosystemtechnik
Glaser
Technischer Fachkaufmann
Meister - Melioration
Balalaikamacher
Geld / Werttransportbegleiter
TÜV-Prüfer / KFZ
"Ausbildungsmeister, körperlich tätig"
Point-of-Care-Diagnostic-Manager
Techniker - Nachrichtentechnik
Hüttentechniker - Produktion
Apotheker / Pharmazeut
Abschleifer Stein
"Trainer , Supervisor - Callcenter"
"Landwirtschaft.-techn. Sonderfachmann, allg."
Kupferhammerschmied
Höhlenforscher mit Tauchen
"Probennehmer - Papier-, Zellstoffherstellung"
Knopflochnäher Leder
Karpfenfischwirt
"Knopf-, Knopflochnäher"
Maschinenpfleger
Pelzhut- und Pelzkappenmacher
Meister des Schuhmacherhandwerks
Grafiker - Gebrauchsgrafik
Käsereifachmann
Facharzt med. Leistungsphysiologie
Schöpfer (Papier)
Federstahlwalzer
Stoffhandschuhzuschneider
Zeitschriften- und Zeitungsverlagskaufmann
Feingussformer
Schweißwerkmeister
"Bergbauingenieur - Tiefbohr-, Schacht- u. Tunnelbau"
Stegwart
Laborleiter - Physikalisches Labor
Bobfahrer
Handballspieler
"Meister Rohbaumontage, überwiegend aufsichtsführend"
Mediengestalter - Bild und Ton
Fischereiaufseher
Lagerwärter
"Pilot, allgemeiner Linienflug - Verkehr, Luft, zivil, Flugzeug"
Ballettvorstand
"Angestellte, kaufmännisch"
Büfettdame/-herr
Flüchtlingsfürsorger
Börsenmakler
Schlüsselfeiler
"Bohrmeister, an Land - Erdgasförderung 'Inland'"
Buttermeister
Bauhofaufseher
EDV-Revisor
Plandrucker
Bibliotheksbeamter (geh. Dienst)
Maßänderungsschneider
Dipl.-Ing. - Physikingenieurwesen
Lackierer - Korbwarenherstellung
Funker Post
Eisen- und Metalldreher
Metallurge/Metallurgin Hüttentechnik (Galvanotechnik)
Facharbeiter - Geologische Bohrungen
Ingenieur - Mikrosystemtechnik
"Flugbetriebsleiter - Verkehr, Luft, zivil, Boden"
Lohnbuchführer
Strohmattenmacher
Biochemiker - Chemie (sonst. Gefahrstoffe)
Kegelradhobler
Meister - Nachrichtentechnik
Soldat 
Ingenieur Keramik
Stabbodenleger
Techniker - Abwassertechnik
Meister - Flugzeugbau/Luftfahrttechnik
Beamter - Eichwesen (geh. techn. Dienst)
Texter selbständig
Techniker - Geodäsie
Nahrungsmittelprüfer
Volkswirtschaftler
Containerbrücken-Fahrer
"Helfer - Malerei, Lackiererei"
Flughafenstationsleiter
Techniker - Mechatronik
Wachszieher - Kerzenherstellung
Metzgereifachverkäufer
Jugendpfarrer
Löwendompteur
Strahlenschutzbeauftragter
"Betriebswirt (Fachschule) - Hotel-, Gaststättengewerbe"
Betriebsbeauftragter - Strahlenschutz
Blockflötenlehrer
Klärwerkfacharbeiter
Ladendetektiv
Bohrtechniker
QS-Fachkraft
Fachkraft für Metalltechnik - Umform- und Drahttechnik
Motorradrennfahrer
Gesprächsanalytiker (Uni)
Horizontalbankdreher
Konferenzübersetzer
Zimmermaler
Master of Arts - Europastudien/European Studies
Vetrerinäre
Helfer - Stickerei
Oberfeuerwehrmann
Hobelmaschinenführer (Metall)
Saisonhelfer
Mischer - Chemie (radioaktive Stoffe)
Wasserkraftwerkmaschinist
Helfer - Schmiedearbeiten
"Zuschneider (Polsterer, Matratzenhersteller)"
Schwachstrominstallateur
Verleger (Verlagskaufmann)
Fachübersetzer
Stangengießer
Streßbewältigungstrainer
Werkzeugmechaniker - Formentechnik
Mineralwasserbereiter
Fernwärmetechniker
Brückenbauzimmerer
"Tiefbohringenieur, an Land - Erdölförderung 'Inland'"
Betriebsbeobachter
Wingertsmeister
Lehrer in der Erwachsenenausbildung
Lichtreklameherstellermeister
Steinbohrer mit Sprengstoffumgang
Zobelfärber
Aquatonedrucker
Lackiermaschinenführer
Schulleiter - Schulen für Ergotherapie
Gastdirigent
Sgraffitoputzer
Leiter - Informationsmanagement
Vorstandsassistent
Forensiker - Datyloskopie
Holzoberflächenveredler
Rohrdachdecker
Designer (Hochschule) - Mode- und Kostümdesign
Pressefotograf
Einzelhandelskaufmann - Elektrogeräte
"Co-Pilot, Propellerflugzeug"
"Fachverkäufer - Gartengeräte, -maschinen"
Techniker - Stahlbetonbau
Porzellangestalter - Former
Hofpächter
Illustrationsfotograf
BGS ohne gefahrenerhöhende Tätigkeit (o.n.A.)
Langhobler
Langläufer
Fernsehingenieur
Zootechniker /Mechanisator - Edelfellproduktion
Florist (staatl. geprüft)
Offshore Erdölgewinner (Raffinerie)
Direktor
Bordfunker ohne Hubschrauber
Karosserie- und Fahrzeugbaumechaniker - Kaross.bautechnik
Vermessungstechniker - Bergvermessung
"Master of Science - Electrical Engin., Syst.Design a. Techn."
Volleyballspieler
Polier Isolierer Abdichter
Quarkmacher
Wasserbaumeister
Industriemeister - Techn. Wagenbehandlung - Eisenbahn
Internet-Redakteur
Meister - Legierungen
Industriemeister - Metall
Stereofotograf
Nachtclubbesitzer
Verlagsingenieur
Gerber - Wasserwerkstatt
Betonschornsteinbauer
Fachkraft - Hydraulik
Thermometerjustierer (Thermometerschreiber )
Empfangsherr/-dame (Hotel)
Produktgestalter
Assistenzarzt (Uni) - Innere Medizin
Dipl.-Ing. - Lebensmitteltechnologie
Bohrtechn über Tage
Screen Designer
Servicereisender
NC-Brennschneider
Dipl. Informatiker
"Pyrotechniker - Techniker, Fertigung"
Feuerungsmaurer
Assistent - klinische Studien
Evangelischer Katechet
"Dipl. Ing., technische Kybernetik"
Ordensangehörige
Pharmazieingenieur
Fischermeister - Seen- und Flussfischerei
Blindenschriftsetzer
Repasseur
Spargelstecher
Hauptwachtmeister (Justizvollzugsdienst)
"Abwäscher (Raum-, Hausratreiniger )"
Komparse/Komparsin
Künstlerischer Betriebsdirektor
Lehrer - Bergführer nenausbildung
Bildtechniker
Hebamme/Entbindungspfleger (Hochschule)
Projekteinkäufer
Fahrzeugführer - Schienenfahrzeuge
Pflegefachkraft - Anästhesie tensivmedizin
Kraftfahrzeugschlosser - nur aufsichtsführend tätig
Sportpädagoge
Chronometermacher
Ver- und Entsorger
Glasmaler
"Fischzüchter, -wirte"
Kfz-Überführer
PC-Betreuer
Baumeister (Wasserwirtschaft und Kulturtechnik)
Umnäher
Dozent - höhere Fachschulen und Akademien
Verpackungsplaner
Techniker - Verkehrsmanagement (Straßenverkehr)
"Porzellanmaler, überwiegend künstlerisch - Porzellan"
Geologe Innendienst über Tage
Prüfungsassistent - Wirtschaftsprüfung
Spielgruppenleiter
Betriebswirt (Hochschule) - Wirtschaftsprüfung
"Typist (Steno-, Phonotypist )"
Schuhkaufmann (Einzelhandel)
Sägewerksleiter
Technischer Kommunikationsassistent
Speditionskaufmann
Assistent - Vertrieb
E-Schweißer
Facharbeiter - Anlagentechnik (Schichtpressstoffe)
Fakturisten
Technische Sachverständige
Ausmesser (Werkzeugmacher )
Agenturinspektor (Versandhandel)
Schieferplattenmacher
Fachmonteur
Musikerzieher
Bäckereimaschinenführer
Umwelt-Zertifizierer
"Diplom-Musiklehrer / Tasten- und Orchesterinstrumente, freiberuflich tätig"
Rottenführer (Gleisbauer)
Beamter - gehobener technischer Dienst
Stationspfleger (Krankenpflege)
Flugleiter Verkehrsdienst
Fachberater - Tierwirtschaft
Sielmeister
Hotelgehilfe - nur aufsichtsführend tätig
Walzwerkmeister
Medizintechniker (Fachschule)
Busschaffner
Psychologe
Energiewart
Meister - Fleischwirtschaft
Zollassistent Innendienst
Gabelstaplerfahrer
Bohrtechn unter Tage
Bekleidungszubehörfertiger
Fernschreiber
Werkstattleiter (Messerschmiedetechnik)
Schuhmodelleur
Automobilökonom (Hochschule)
Fachverkäufer - Obst und Gemüse
Master of Science - Public Administration
Kernschwärzer
DTM-Rennwagenfahrer
Begutachtungsingenieur
Knappe
Multimediatechniker (Kommunikationselektronik)
Erdöltechniker
Werkpfleger
Medizintechniker
Abstopper Zeitnehmer
Abgrater (Gussputzer )
Zoohändler
Kontrollmechaniker (Maschinenbau)
Ralleys
"Mechaniker, Sperrbereich - Energie, Atomkraftwerk"
Krabbenschäler
"Maschinenbauingenieur - Energie-, Reaktortechnik"
Kundenmüller
Energieelektroniker - Betriebst.-Meß/Steuerr egelt.
Funktionskrankenschwester/-pfleger
Feinbohrer (Holz)
Lebensmitteltechniker - Küchentechnik
Rudermacher (Kunststoffruder)
Schlepperfahrer
Stanzer (Papierverarbeiter)
Fachkraft - landwirtschaftlicher Haushalt
Elektrotechniker - Gebäudetechnik
Dipl.-Gerontologe (Uni)
Pferdewirtschaftsmeister - Pferdezucht und -haltung
Dipl. Physiker - Physik (Sprengstoffumgang)
Fachverkäufer - medizinisch-technische Rehabilitation
Verwaltungsfachangestellter - Kirchenverwalt. -ev. Kirche
Russist
"Lehrer, allgemein"
Graveur - Ledergravuren
Techniker - Lederverarbeitung
Bohrmeister (Wasserbauer)
Facharbeiter - technische Kohle
Dipl.-Praehistoriker (Uni)
Computer-Animationsdesigner
Sachkundiger für Schankanlagen
Informatiker - Systemtechnik
"Dipl.-Ing. (FH) - Maschinenbau (Förder-, Förderanlagentech.)"
Rundkettenwirker
Agrarökologe
Zoopädagoge
Heizungsbauermeister
Brillengestellmacher (Horn)
Heilmasseur
Facharbeiter - Textiltechnik (Konfektionär )
Bandarbeiter (Fließband)
Ingenieurökonom - Soz. Betriebswirtsch. (Bauindustrie)
Einsalzer (Fischkonservierer)
Metallprüfer - Chemie (ohne Gefahrstoffe)
Blumenmaler
Hörfunkproduzent
Techniker - Umweltschutzt. (Wasserver- u. -entsorgung)
Borddienstbeauftragter (Airline Catering)
Halbzeugputzer
Brecher (Textilveredlung)
Fellscherer
Glasapparatebauer
Assistent - Marketing
Metallformer
Hopfenbauer
Abraumhauer unter Tage
Immobilienanalyst
Verladearbeiter
Dipl.-Pharmazeut (Uni)
Theologe - jüdisch
Schriftlithograf
Fachwirt - Verkehr
Textilveredler in Versuch u. Entwicklung
"Liedsänger - Kunst, Musik, angestellt"
Umweltschutztechniker 
Expositus
Diseuse
Redaktionsdirektor
Autoelektrikermeister
Hohlglasschleifermeister
Hauer in Förderung und Transport
Privatdozent (Uni)
Finanzmakler
Leiter des Künstlerischen Betriebsbüros
Nachlaßrichter
Vorarbeiter (Bauwerksabdichtung)
Ausstellungsverkäufer
"Matrose, allgemein"
Frachtarbeiter (Transport)
